,bowler,overs,runs,maidens,wicket,econrate,date,team2,winner,venue,team1,4 wicket,5 wicket,dr11Score
2317,JP Duminy,4,31,0,0,8.0,2014-05-23,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,4
2318,JP Duminy,2,15,0,0,8.0,2014-05-25,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,0,0,4
2319,JP Duminy,2,16,0,2,8.0,2015-04-15,Delhi Daredevils,Delhi Daredevils,Maharashtra Cricket Association Stadium,Delhi Daredevils,0,0,54
2320,JP Duminy,3,17,0,4,6.0,2015-04-18,Delhi Daredevils,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,1,0,112
2321,JP Duminy,1,10,0,0,10.0,2015-04-20,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2322,JP Duminy,1,14,0,0,14.0,2015-04-23,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2323,JP Duminy,1,7,0,0,7.0,2015-04-26,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2324,JP Duminy,4,15,0,1,4.0,2015-05-01,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2325,JP Duminy,1,16,0,0,16.0,2015-05-07,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,4
2326,JP Duminy,2,16,0,0,8.0,2015-05-09,Sunrisers Hyderabad,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2327,JP Duminy,1,4,0,1,4.0,2016-04-27,Gujarat Lions,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2328,JP Duminy,2,14,0,0,7.0,2016-05-03,Delhi Daredevils,Delhi Daredevils,Saurashtra Cricket Association Stadium,Delhi Daredevils,0,0,4
2329,JP Duminy,1,9,0,0,9.0,2016-05-05,Rising Pune Supergiants,Rising Pune Supergiants,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2330,JP Duminy,2,19,0,0,10.0,2016-05-12,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,4
2331,JP Duminy,1,9,0,1,9.0,2016-05-20,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,29
2332,JP Faulkner,2,9,1,1,4.0,2011-05-21,Pune Warriors,0,Feroz Shah Kotla,Delhi Daredevils,0,0,37
2333,JP Faulkner,4,38,0,1,10.0,2013-05-07,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,0,0,29
2334,JP Faulkner,4,26,0,2,6.0,2014-05-03,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2335,JP Faulkner,1,6,0,1,6.0,2014-05-15,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",Delhi Daredevils,0,0,29
2336,JP Faulkner,4,55,0,0,14.0,2015-04-12,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2337,JP Faulkner,4,22,0,2,6.0,2015-05-03,Delhi Daredevils,Rajasthan Royals,Brabourne Stadium,Delhi Daredevils,0,0,54
2338,JP Faulkner,2,23,0,1,12.0,2016-04-27,Gujarat Lions,Gujarat Lions,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2339,JP Faulkner,1,9,0,0,9.0,2016-05-03,Delhi Daredevils,Delhi Daredevils,Saurashtra Cricket Association Stadium,Delhi Daredevils,0,0,4
2340,JP Faulkner,2,35,0,0,18.0,2017-05-04,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2341,JP Faulkner,4,39,0,3,10.0,2017-05-10,Delhi Daredevils,Delhi Daredevils,Green Park,Delhi Daredevils,0,0,79
2342,JR Hopes,1,2,0,2,2.0,2008-05-17,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2343,JR Hopes,4,26,0,1,6.0,2011-04-17,Delhi Daredevils,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,0,0,29
2344,JR Hopes,4,36,0,1,9.0,2011-04-19,Deccan Chargers,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2345,JR Hopes,4,43,0,1,11.0,2011-04-23,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2346,JR Hopes,4,25,0,1,6.0,2011-04-26,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2347,JR Hopes,4,25,0,1,6.0,2011-04-28,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2348,JR Hopes,3,29,0,1,10.0,2011-05-05,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,29
2349,JR Hopes,4,45,0,1,11.0,2011-05-07,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,29
2350,JR Hopes,3,27,0,0,9.0,2011-05-15,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,0,0,4
2351,JW Hastings,2,6,1,2,3.0,2016-04-10,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,62
2352,Joginder Sharma,3,35,0,1,12.0,2008-05-02,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,0,0,29
2353,Joginder Sharma,1,8,0,0,8.0,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Delhi Daredevils,0,0,4
2354,Joginder Sharma,4,43,0,1,11.0,2010-03-19,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2355,K Rabada,4,30,0,2,8.0,2017-04-22,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,54
2356,K Rabada,3,20,0,2,7.0,2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,54
2357,K Rabada,2,18,0,0,9.0,2017-04-30,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,0,0,4
2358,K Rabada,4,59,0,0,15.0,2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2359,K Rabada,4,28,0,3,7.0,2017-05-04,Gujarat Lions,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,79
2360,K Rabada,4,33,0,1,8.0,2017-05-06,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2361,KA Pollard,4,24,0,1,6.0,2010-03-17,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2362,KA Pollard,4,15,0,1,4.0,2010-04-13,Delhi Daredevils,Mumbai Indians,Brabourne Stadium,Delhi Daredevils,0,0,29
2363,KA Pollard,3,18,0,0,6.0,2011-04-10,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2364,KA Pollard,2,24,0,2,12.0,2011-05-07,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,54
2365,KA Pollard,1,6,0,0,6.0,2012-04-16,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,0,0,4
2366,KA Pollard,1,23,0,0,23.0,2012-04-27,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2367,KA Pollard,4,35,0,2,9.0,2013-04-09,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,54
2368,KA Pollard,1,11,0,0,11.0,2013-04-21,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2369,KA Pollard,1,4,0,0,4.0,2014-05-23,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,4
2370,KA Pollard,2,25,0,0,12.0,2015-04-23,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2371,KA Pollard,1,11,0,0,11.0,2016-04-23,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2372,KC Cariappa,4,37,0,1,9.0,2016-05-07,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,0,0,29
2373,KC Cariappa,3,23,0,1,8.0,2017-04-15,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2374,KH Pandya,4,25,0,0,6.0,2016-04-23,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2375,KH Pandya,2,15,1,3,8.0,2016-05-15,Delhi Daredevils,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,0,0,87
2376,KH Pandya,1,8,0,0,8.0,2017-04-22,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,4
2377,KK Cooper,4,19,0,0,5.0,2012-04-29,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2378,KK Cooper,4,30,0,3,8.0,2013-04-06,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,0,0,79
2379,KK Cooper,3,19,0,1,6.0,2014-05-15,Delhi Daredevils,Rajasthan Royals,"Sardar Patel Stadium, Motera",Delhi Daredevils,0,0,29
2380,KP Appanna,4,24,0,1,6.0,2009-04-26,Delhi Daredevils,Delhi Daredevils,St George's Park,Delhi Daredevils,0,0,29
2381,KP Appanna,4,24,0,2,6.0,2010-04-04,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2382,KP Pietersen,1,3,0,0,3.0,2010-04-04,Royal Challengers Bangalore,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2383,KP Pietersen,2,16,0,0,8.0,2012-04-19,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2384,KP Pietersen,2,21,0,0,10.0,2012-04-21,Pune Warriors,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2385,KV Sharma,2,9,0,1,4.0,2013-05-04,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,29
2386,KV Sharma,4,23,0,1,6.0,2014-04-25,Delhi Daredevils,Sunrisers Hyderabad,Dubai International Cricket Stadium,Delhi Daredevils,0,0,29
2387,KV Sharma,3,29,0,0,10.0,2014-05-10,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2388,KV Sharma,2,25,0,0,12.0,2015-04-18,Delhi Daredevils,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,0,0,4
2389,KV Sharma,3,12,0,2,4.0,2015-05-09,Sunrisers Hyderabad,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,54
2390,KV Sharma,3,25,0,1,8.0,2016-05-20,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,29
2391,KV Sharma,3,11,1,3,4.0,2017-05-06,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,0,0,87
2392,KW Richardson,4,38,0,0,10.0,2013-04-28,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2393,KW Richardson,4,39,0,1,10.0,2014-05-03,Rajasthan Royals,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2394,Kamran Khan,4,35,0,1,9.0,2009-04-28,Rajasthan Royals,Rajasthan Royals,SuperSport Park,Delhi Daredevils,0,0,29
2395,Karanveer Singh,4,22,0,2,6.0,2014-05-25,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,0,0,54
2396,Kuldeep Yadav,3,29,0,0,10.0,2017-04-17,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2397,Kuldeep Yadav,4,27,0,0,7.0,2017-04-28,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,4
2398,L Ablish,2,19,0,2,10.0,2010-04-11,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2399,L Balaji,4,35,0,2,9.0,2008-05-08,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2400,L Balaji,4,19,0,3,5.0,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Delhi Daredevils,0,0,79
2401,L Balaji,3,26,0,0,9.0,2009-05-02,Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,Delhi Daredevils,0,0,4
2402,L Balaji,3,21,0,2,7.0,2010-03-19,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2403,L Balaji,2,16,0,0,8.0,2010-04-15,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,0,0,4
2404,L Balaji,4,38,0,2,10.0,2011-04-28,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2405,L Balaji,2,11,0,1,6.0,2012-05-22,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,29
2406,L Balaji,4,20,0,1,5.0,2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,29
2407,L Balaji,4,35,0,1,9.0,2013-05-01,Kolkata Knight Riders,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,29
2408,LJ Wright,2,24,0,0,12.0,2012-04-24,Delhi Daredevils,Delhi Daredevils,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,4
2409,LJ Wright,1,16,0,0,16.0,2013-04-28,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2410,LR Shukla,1,6,0,3,6.0,2008-05-13,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,79
2411,LR Shukla,1,8,0,0,8.0,2013-04-03,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,4
2412,LR Shukla,2,21,0,0,10.0,2014-04-25,Delhi Daredevils,Sunrisers Hyderabad,Dubai International Cricket Stadium,Delhi Daredevils,0,0,4
2413,LR Shukla,1,5,0,0,5.0,2014-04-27,Mumbai Indians,Delhi Daredevils,Sharjah Cricket Stadium,Delhi Daredevils,0,0,4
2414,LR Shukla,2,19,0,0,10.0,2014-05-07,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2415,LR Shukla,0,7,0,0,inf,2014-05-10,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2416,M Ashwin,3,31,0,0,10.0,2016-05-05,Rising Pune Supergiants,Rising Pune Supergiants,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2417,M Kartik,4,18,0,0,4.0,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Kingsmead,Delhi Daredevils,0,0,4
2418,M Kartik,4,20,0,0,5.0,2009-05-10,Kolkata Knight Riders,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,0,0,4
2419,M Kartik,4,26,0,0,6.0,2010-03-29,Kolkata Knight Riders,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2420,M Kartik,3,25,0,1,8.0,2012-04-21,Pune Warriors,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2421,M Kartik,4,26,0,0,6.0,2012-04-24,Delhi Daredevils,Delhi Daredevils,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,4
2422,M Kartik,4,21,0,0,5.0,2013-05-10,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2423,M Morkel,4,29,0,1,7.0,2011-04-10,Mumbai Indians,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2424,M Morkel,4,11,0,1,3.0,2011-04-12,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,0,0,29
2425,M Morkel,4,31,0,0,8.0,2011-04-19,Deccan Chargers,Deccan Chargers,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2426,M Morkel,4,32,0,1,8.0,2011-04-23,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2427,M Morkel,4,25,0,3,6.0,2011-04-26,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,79
2428,M Morkel,4,42,0,1,10.0,2011-04-28,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2429,M Morkel,4,18,0,3,4.0,2011-04-30,Delhi Daredevils,Delhi Daredevils,Nehru Stadium,Delhi Daredevils,0,0,79
2430,M Morkel,3,29,0,1,10.0,2011-05-02,Kochi Tuskers Kerala,Kochi Tuskers Kerala,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2431,M Morkel,4,37,0,1,9.0,2011-05-05,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,29
2432,M Morkel,4,49,0,1,12.0,2011-05-07,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,29
2433,M Morkel,4,22,0,1,6.0,2011-05-15,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,0,0,29
2434,M Morkel,3,18,0,4,6.0,2012-04-05,Delhi Daredevils,Delhi Daredevils,Eden Gardens,Delhi Daredevils,1,0,112
2435,M Morkel,4,30,0,2,8.0,2012-04-07,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,0,0,54
2436,M Morkel,4,22,1,2,6.0,2012-04-16,Delhi Daredevils,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,0,0,62
2437,M Morkel,4,23,0,4,6.0,2012-04-19,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,0,112
2438,M Morkel,4,50,0,3,12.0,2012-04-21,Pune Warriors,Pune Warriors,Feroz Shah Kotla,Delhi Daredevils,0,0,79
2439,M Morkel,4,34,0,1,8.0,2012-04-24,Delhi Daredevils,Delhi Daredevils,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,29
2440,M Morkel,4,21,0,2,5.0,2012-04-27,Mumbai Indians,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2441,M Morkel,4,26,0,1,6.0,2012-04-29,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2442,M Morkel,4,23,0,1,6.0,2012-05-01,Delhi Daredevils,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,0,0,29
2443,M Morkel,4,35,0,1,9.0,2012-05-07,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2444,M Morkel,4,32,0,1,8.0,2012-05-10,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,29
2445,M Morkel,4,32,0,1,8.0,2012-05-15,Kings XI Punjab,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2446,M Morkel,4,20,0,4,5.0,2012-05-19,Delhi Daredevils,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,1,0,112
2447,M Morkel,4,37,0,0,9.0,2012-05-22,Kolkata Knight Riders,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,4
2448,M Morkel,4,43,0,1,11.0,2013-04-09,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,29
2449,M Morkel,4,27,0,2,7.0,2013-04-12,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2450,M Morkel,4,32,0,2,8.0,2013-04-16,Delhi Daredevils,0,M Chinnaswamy Stadium,Delhi Daredevils,0,0,54
2451,M Morkel,4,36,0,0,9.0,2013-04-28,Pune Warriors,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2452,M Morkel,4,22,0,1,6.0,2013-05-01,Kolkata Knight Riders,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,29
2453,M Morkel,4,40,0,0,10.0,2013-05-07,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,0,0,4
2454,M Morkel,4,35,0,0,9.0,2013-05-10,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2455,M Morkel,4,22,0,1,6.0,2013-05-16,Delhi Daredevils,Kings XI Punjab,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,0,0,29
2456,M Morkel,4,36,0,0,9.0,2013-05-19,Delhi Daredevils,Pune Warriors,Subrata Roy Sahara Stadium,Delhi Daredevils,0,0,4
2457,M Morkel,4,41,0,2,10.0,2014-04-19,Delhi Daredevils,Delhi Daredevils,Dubai International Cricket Stadium,Delhi Daredevils,0,0,54
2458,M Morkel,4,30,0,2,8.0,2015-04-20,Kolkata Knight Riders,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2459,M Muralitharan,4,27,0,0,7.0,2008-05-02,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,0,0,4
2460,M Muralitharan,4,25,0,0,6.0,2008-05-08,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2461,M Muralitharan,3,26,0,0,9.0,2009-04-23,Delhi Daredevils,Delhi Daredevils,Kingsmead,Delhi Daredevils,0,0,4
2462,M Muralitharan,4,22,0,1,6.0,2009-05-02,Delhi Daredevils,Chennai Super Kings,New Wanderers Stadium,Delhi Daredevils,0,0,29
2463,M Muralitharan,4,25,0,2,6.0,2010-03-19,Chennai Super Kings,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2464,M Muralitharan,4,25,0,3,6.0,2012-04-07,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,0,0,79
2465,M Muralitharan,4,44,0,1,11.0,2012-05-17,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2466,M Muralitharan,4,25,0,2,6.0,2014-05-13,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,0,0,54
2467,M Ntini,4,29,0,0,7.0,2008-05-02,Delhi Daredevils,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,0,0,4
2468,M de Lange,3,36,0,0,12.0,2012-04-05,Delhi Daredevils,Delhi Daredevils,Eden Gardens,Delhi Daredevils,0,0,4
2469,M de Lange,4,32,0,2,8.0,2014-05-23,Delhi Daredevils,Mumbai Indians,Wankhede Stadium,Delhi Daredevils,0,0,54
2470,MA Starc,4,33,0,1,8.0,2014-04-17,Royal Challengers Bangalore,Royal Challengers Bangalore,Sharjah Cricket Stadium,Delhi Daredevils,0,0,29
2471,MA Starc,4,26,0,3,6.0,2014-05-13,Delhi Daredevils,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,0,0,79
2472,MA Starc,4,20,0,3,5.0,2015-04-26,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,79
2473,MA Starc,4,35,0,0,9.0,2015-05-17,Delhi Daredevils,0,M Chinnaswamy Stadium,Delhi Daredevils,0,0,4
2474,MC Henriques,4,36,0,0,9.0,2009-05-05,Kolkata Knight Riders,Delhi Daredevils,Kingsmead,Delhi Daredevils,0,0,4
2475,MC Henriques,4,35,0,1,9.0,2009-05-10,Kolkata Knight Riders,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,0,0,29
2476,MC Henriques,4,35,0,1,9.0,2010-03-21,Delhi Daredevils,Deccan Chargers,Barabati Stadium,Delhi Daredevils,0,0,29
2477,MC Henriques,2,21,0,1,10.0,2013-05-10,Royal Challengers Bangalore,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,0,0,29
2478,MC Henriques,3,26,0,2,9.0,2014-05-10,Sunrisers Hyderabad,Sunrisers Hyderabad,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2479,MC Henriques,2,14,0,0,7.0,2015-05-09,Sunrisers Hyderabad,Sunrisers Hyderabad,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2480,MC Henriques,3,19,0,2,6.0,2016-05-12,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,54
2481,MC Henriques,2,18,0,0,9.0,2016-05-20,Sunrisers Hyderabad,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,0,0,4
2482,MC Henriques,3,32,0,0,11.0,2017-04-19,Delhi Daredevils,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,4
2483,MC Henriques,2,36,0,0,18.0,2017-05-02,Sunrisers Hyderabad,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2484,MF Maharoof,4,11,0,2,3.0,2008-04-19,Rajasthan Royals,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2485,MF Maharoof,4,36,0,2,9.0,2008-04-22,Delhi Daredevils,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,0,0,54
2486,MF Maharoof,3,31,0,0,10.0,2008-04-27,Delhi Daredevils,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,0,0,4
2487,MF Maharoof,4,22,0,3,6.0,2008-05-11,Delhi Daredevils,Rajasthan Royals,Sawai Mansingh Stadium,Delhi Daredevils,0,0,79
2488,MF Maharoof,4,25,0,2,6.0,2008-05-13,Delhi Daredevils,Kolkata Knight Riders,Eden Gardens,Delhi Daredevils,0,0,54
2489,MF Maharoof,4,39,0,2,10.0,2008-05-15,Deccan Chargers,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,0,0,54
2490,MF Maharoof,1,11,0,0,11.0,2008-05-17,Kings XI Punjab,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,0,0,4
2491,MF Maharoof,4,13,0,4,3.0,2008-05-19,Delhi Daredevils,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,1,0,112
